Date,GSCPI
31-Jan-1998,-1.09217495006612
28-Feb-1998,-0.448778350410195
31-Mar-1998,-0.0511306350071716
30-Apr-1998,-0.112958104586072
31-May-1998,-0.423389607765
30-Jun-1998,-0.756850034478131
31-Jul-1998,-0.914214639140349
31-Aug-1998,-0.901058145365108
30-Sep-1998,-0.926819378647075
31-Oct-1998,-0.687732267299981
30-Nov-1998,-0.861139935510882
31-Dec-1998,-0.608581121873817
31-Jan-1999,-0.288355524617544
28-Feb-1999,-0.0187632952457289
31-Mar-1999,-0.291197755537259
30-Apr-1999,-0.226026093858248
31-May-1999,-0.369426264704834
30-Jun-1999,-0.372834532140331
31-Jul-1999,-0.628142741534255
31-Aug-1999,-0.462260331130905
30-Sep-1999,-0.401881800154286
31-Oct-1999,-0.127707644498566
30-Nov-1999,-0.177005303987423
31-Dec-1999,-0.212033948447083
31-Jan-2000,-0.613775277768425
29-Feb-2000,-0.446767259452942
31-Mar-2000,-0.294898985895036
30-Apr-2000,0.10378834556119
31-May-2000,0.27116489613961
30-Jun-2000,0.0396654413367277
31-Jul-2000,-0.0178990067049468
31-Aug-2000,0.0812584254335182
30-Sep-2000,0.0404105701643
31-Oct-2000,-0.539124809840607
30-Nov-2000,-0.760042653877631
31-Dec-2000,-0.94714589111861
31-Jan-2001,-0.937688613946957
28-Feb-2001,-0.784332816340158
31-Mar-2001,-0.606085145842211
30-Apr-2001,-1.01886216569866
31-May-2001,-1.13826529539612
30-Jun-2001,-0.715644327008508
31-Jul-2001,-0.870757618266592
31-Aug-2001,-0.820707633797656
30-Sep-2001,-0.711609847561727
31-Oct-2001,-1.23293634176053
30-Nov-2001,-1.45847315289033
31-Dec-2001,-1.20870464380191
31-Jan-2002,-0.955275167326431
28-Feb-2002,-0.49806241045824
31-Mar-2002,-0.46595848575569
30-Apr-2002,-0.6160585327945
31-May-2002,-0.33718261352296
30-Jun-2002,-0.640332269604194
31-Jul-2002,-0.970512797782348
31-Aug-2002,-1.10136584538462
30-Sep-2002,-1.17409841706125
31-Oct-2002,-1.27684676891875
30-Nov-2002,-0.780337560008727
31-Dec-2002,-0.726574120891627
31-Jan-2003,-0.658414508923503
28-Feb-2003,-0.329477447945462
31-Mar-2003,-0.352477795346871
30-Apr-2003,-0.582123078496185
31-May-2003,-0.208270418054525
30-Jun-2003,-0.145969585126012
31-Jul-2003,-0.0254192545523083
31-Aug-2003,-0.0900598916163861
30-Sep-2003,0.057054883850816
31-Oct-2003,-0.297033387656858
30-Nov-2003,-0.448458543586428
31-Dec-2003,-0.402297240303216
31-Jan-2004,-0.543924349312512
29-Feb-2004,-0.420365641961736
31-Mar-2004,-0.0558211092222729
30-Apr-2004,0.364268189489244
31-May-2004,0.303383748469799
30-Jun-2004,0.380684667316225
31-Jul-2004,-0.502905264628673
31-Aug-2004,0.0791312652301784
30-Sep-2004,-0.0349727956332307
31-Oct-2004,-0.619831594378819
30-Nov-2004,-0.0487871024847403
31-Dec-2004,0.0886614504933635
31-Jan-2005,-0.133544542734633
28-Feb-2005,-0.19262222194266
31-Mar-2005,-0.29724343784323
30-Apr-2005,-1.34021255123015
31-May-2005,-1.01733592731836
30-Jun-2005,-0.953745400072943
31-Jul-2005,-0.892538735185773
31-Aug-2005,-0.535336681537749
30-Sep-2005,0.0372417086708823
31-Oct-2005,-0.10144286051389
30-Nov-2005,-0.650493362931617
31-Dec-2005,-0.730661196281898
31-Jan-2006,-0.39809693633349
28-Feb-2006,-0.768467361140692
31-Mar-2006,-0.380564724272293
30-Apr-2006,0.0988893829321868
31-May-2006,0.092550851734318
30-Jun-2006,0.133817385858819
31-Jul-2006,-0.112075950281837
31-Aug-2006,0.0555509557386731
30-Sep-2006,-0.648628528907065
31-Oct-2006,-0.521606568460762
30-Nov-2006,-0.239710467892177
31-Dec-2006,-0.472434466335978
31-Jan-2007,-0.890058022245254
28-Feb-2007,-0.720779053640384
31-Mar-2007,-0.590174808375239
30-Apr-2007,-0.840707838637016
31-May-2007,-0.420577324497157
30-Jun-2007,-0.384983262648863
31-Jul-2007,-0.452568829928072
31-Aug-2007,-0.120297932857168
30-Sep-2007,-0.0489362709174294
31-Oct-2007,-0.625139881929489
30-Nov-2007,-0.504135253206129
31-Dec-2007,-0.166997836789731
31-Jan-2008,-0.395340798208209
29-Feb-2008,0.435621010210905
31-Mar-2008,0.138188444364829
30-Apr-2008,0.129782543723518
31-May-2008,-0.132957503776598
30-Jun-2008,0.265689815289622
31-Jul-2008,0.999296207728168
31-Aug-2008,0.277407454676522
30-Sep-2008,-0.540674650369593
31-Oct-2008,-0.990069986792053
30-Nov-2008,-1.51183886605725
31-Dec-2008,-0.663344690230536
31-Jan-2009,-0.407292778147335
28-Feb-2009,-0.476234651982735
31-Mar-2009,0.148560325371541
30-Apr-2009,0.82133140070467
31-May-2009,0.307856871866012
30-Jun-2009,-0.537723633355976
31-Jul-2009,-0.778904664378671
31-Aug-2009,-1.15920751252542
30-Sep-2009,-0.517144972483639
31-Oct-2009,-0.470114641544148
30-Nov-2009,-0.809150195976769
31-Dec-2009,-0.638237423758396
31-Jan-2010,-0.337779973579919
28-Feb-2010,-0.17653085453898
31-Mar-2010,0.333071962704556
30-Apr-2010,0.259456549894122
31-May-2010,0.399731529714468
30-Jun-2010,-0.0566510023579175
31-Jul-2010,-0.0617227358556914
31-Aug-2010,0.305463606006053
30-Sep-2010,0.358378272550351
31-Oct-2010,0.677806582972747
30-Nov-2010,0.430473790881991
31-Dec-2010,0.676261028100661
31-Jan-2011,0.74507328046779
28-Feb-2011,0.336408601441338
31-Mar-2011,0.717872289141265
30-Apr-2011,1.585633901447
31-May-2011,0.92083654669677
30-Jun-2011,0.201123290173701
31-Jul-2011,0.285250241900598
31-Aug-2011,-0.113440122942147
30-Sep-2011,-0.556984017043467
31-Oct-2011,-0.387670590879842
30-Nov-2011,0.139141372488698
31-Dec-2011,-0.0544732466988467
31-Jan-2012,0.373159116242075
29-Feb-2012,-0.000316241440423001
31-Mar-2012,-0.377894041478754
30-Apr-2012,-0.328282267402242
31-May-2012,-0.684285635076943
30-Jun-2012,-0.705402916017314
31-Jul-2012,-0.674808119790846
31-Aug-2012,-0.137101444386805
30-Sep-2012,-0.259240267718128
31-Oct-2012,-0.0115711214936687
30-Nov-2012,-0.358616025925059
31-Dec-2012,-0.156508171488525
31-Jan-2013,-0.0706139308059404
28-Feb-2013,-0.393078677441994
31-Mar-2013,-0.558186073735086
30-Apr-2013,-0.746971595280108
